기간	605	235	597	213	495	239	506	262
:	494	264	486	242	473	243	481	271
~	474	268	467	250	448	257	459	272
2022.12.31.	448	277	439	253	301	289	310	316
적성검사	617	263	607	240	507	265	514	288
2022.01.01.	495	292	487	270	342	306	350	326
1111	620	284	611	265	549	281	563	305
(2222.55555)	556	303	549	281	320	340	328	369
66번길	628	309	622	289	546	308	551	332
10,	539	334	531	313	496	321	505	346
523동	493	343	485	327	420	343	432	362
경기	636	337	623	313	570	330	579	350
666666-6666666	646	368	639	341	417	401	427	434
777	652	398	639	372	551	396	563	422
경기	660	443	647	411	569	432	579	473
88-888888-88	559	469	541	437	277	510	289	546
자동차운전면허증	623	488	616	464	443	510	452	538
(Driver'sLicense)	446	527	438	510	302	548	308	567
1종보통	886	431	879	411	795	430	802	458
2012.04.05.	583	145	575	125	453	158	473	176
경기지방경찰청장	468	189	452	154	189	227	203	259
999999	297	295	288	280	223	295	229	312
용인	521	349	565	335	570	354	528	366
수지	454	360	464	384	507	372	504	347
진산로	443	367	371	388	384	406	451	388
